Mês Notificação,Ano,Período,Casos Prováveis
Janeiro,2007,Jan/2007,38160
Fevereiro,2007,Fev/2007,67005
Marco,2007,Mar/2007,107384
Abril,2007,Abr/2007,105875
Maio,2007,Mai/2007,73357
Junho,2007,Jun/2007,30939
Julho,2007,Jul/2007,20215
Agosto,2007,Ago/2007,12482
Setembro,2007,Set/2007,7356
Outubro,2007,Out/2007,9328
Novembro,2007,Nov/2007,12219
Dezembro,2007,Dez/2007,16270
Janeiro,2008,Jan/2008,38330
Fevereiro,2008,Fev/2008,51156
Marco,2008,Mar/2008,124848
Abril,2008,Abr/2008,229809
Maio,2008,Mai/2008,109369
Junho,2008,Jun/2008,37213
Julho,2008,Jul/2008,12779
Agosto,2008,Ago/2008,6616
Setembro,2008,Set/2008,4408
Outubro,2008,Out/2008,5696
Novembro,2008,Nov/2008,7345
Dezembro,2008,Dez/2008,10092
Janeiro,2009,Jan/2009,23928
Fevereiro,2009,Fev/2009,45561
Marco,2009,Mar/2009,89340
Abril,2009,Abr/2009,78114
Maio,2009,Mai/2009,53528
Junho,2009,Jun/2009,22614
Julho,2009,Jul/2009,11189
Agosto,2009,Ago/2009,7860
Setembro,2009,Set/2009,5846
Outubro,2009,Out/2009,8409
Novembro,2009,Nov/2009,22447
Dezembro,2009,Dez/2009,42664
Janeiro,2010,Jan/2010,93449
Fevereiro,2010,Fev/2010,143702
Marco,2010,Mar/2010,226643
Abril,2010,Abr/2010,199401
Maio,2010,Mai/2010,150060
Junho,2010,Jun/2010,60975
Julho,2010,Jul/2010,35987
Agosto,2010,Ago/2010,25794
Setembro,2010,Set/2010,17959
Outubro,2010,Out/2010,15529
Novembro,2010,Nov/2010,22673
Dezembro,2010,Dez/2010,34928
Janeiro,2011,Jan/2011,57085
Fevereiro,2011,Fev/2011,103420
Marco,2011,Mar/2011,149868
Abril,2011,Abr/2011,167233
Maio,2011,Mai/2011,131197
Junho,2011,Jun/2011,50035
Julho,2011,Jul/2011,20876
Agosto,2011,Ago/2011,13957
Setembro,2011,Set/2011,9800
Outubro,2011,Out/2011,10443
Novembro,2011,Nov/2011,14017
Dezembro,2011,Dez/2011,21917
Janeiro,2012,Jan/2012,35284
Fevereiro,2012,Fev/2012,50562
Marco,2012,Mar/2012,91254
Abril,2012,Abr/2012,119952
Maio,2012,Mai/2012,126932
Junho,2012,Jun/2012,58552
Julho,2012,Jul/2012,30014
Agosto,2012,Ago/2012,19171
Setembro,2012,Set/2012,11127
Outubro,2012,Out/2012,11070
Novembro,2012,Nov/2012,14804
Dezembro,2012,Dez/2012,30195
Janeiro,2013,Jan/2013,141771
Fevereiro,2013,Fev/2013,222604
Marco,2013,Mar/2013,404609
Abril,2013,Abr/2013,391714
Maio,2013,Mai/2013,159685
Junho,2013,Jun/2013,56672
Julho,2013,Jul/2013,28510
Agosto,2013,Ago/2013,17850
Setembro,2013,Set/2013,11880
Outubro,2013,Out/2013,10514
Novembro,2013,Nov/2013,12009
Dezembro,2013,Dez/2013,13778
Janeiro,2014,Jan/2014,29645
Fevereiro,2014,Fev/2014,48408
Marco,2014,Mar/2014,72645
Abril,2014,Abr/2014,145026
Maio,2014,Mai/2014,120620
Junho,2014,Jun/2014,52049
Julho,2014,Jul/2014,26976
Agosto,2014,Ago/2014,16575
Setembro,2014,Set/2014,19050
Outubro,2014,Out/2014,20363
Novembro,2014,Nov/2014,18730
Dezembro,2014,Dez/2014,21041
Janeiro,2015,Jan/2015,69270
Fevereiro,2015,Fev/2015,167112
Marco,2015,Mar/2015,385848
Abril,2015,Abr/2015,399392
Maio,2015,Mai/2015,288181
Junho,2015,Jun/2015,118937
Julho,2015,Jul/2015,49058
Agosto,2015,Ago/2015,29204
Setembro,2015,Set/2015,24038
Outubro,2015,Out/2015,25616
Novembro,2015,Nov/2015,47713
